Sentence,Tense,Verb
and you saw some dogs and squirrels and what else,2,saw
another squirrel and what else,0,None
what,0,None
oh and what else,0,None
what about the mirrors,0,None
remember we saw those funny mirrors that you looked in,2,saw
that you looked in,2,looked
and you saw some big,2,saw
cows yes,0,None
well don't put your knees down there on the bench,1,don't
well come here and let me see,1,come
let me see,1,let
you just rubbed on the bench,2,rubbed
sometimes it hurts to do that,1,hurts
sleep in the chair there,1,sleep
no I thought you were sleeping,2,thought
you were sleeping,2,were
aren't you sleeping,1,aren't
no,0,None
look at your shirt,1,look
what happened to your shirt,2,happened
you got some chocolate on it didn't you,2,got
didn't you,2,didn't
what,0,None
because you spilled it,2,spilled
because you weren't careful,2,weren't
because you were careless,2,were
you were careless,2,were
here it is,1,is
no I don't want you to drink it,1,don't
because I'm going to drink it,3,m going to
because it's not good for little boys,1,s
yes ladies drink it,1,drink
no because you're a little boy,1,re
what happened to your popcorn,2,happened
it fell,2,fell
no it didn't,2,didn't
snack,0,None
what did you do with your popcorn,2,did 
didn't you give some to the,2,didn't
pigeons,0,None
did they like it,2,did
they're walking just like Adam,1,re
pineapple,0,None
what about pineapple,0,None
careful Adam,0,None
no Adam careful,0,None
I think it was a car,1,think
it was a car,2,was
perhaps it was turning the corner rather fast and it made that noise with its wheels,2,was
and it made that noise with its wheels,2,made
some people like to drive like that,1,like
only hit Adam,1,hit
oh no,0,None
only they hafta be careful not to hit anybody,1,hafta
yes careful not to hit Mommy,1,hit
Mommy hasta be careful that she doesn't get hit,1,hasta
that she doesn't get hit,1,doesn't
Adam hasta be careful that he doesn't get hit either,1,hasta
that he doesn't get hit either,1,doesn't
it would hurt,1,would
because you don't like to get hurt do you,1,don't
you think you'd like to get hurt,1,think
you'd like to get hurt,1,d
then perhaps you'd hafta go to the hospital,1,d
yes Mommy would hafta leave you there,1,would
don't leave you,1,don't
well you hafta be careful not to get hit and not to get hurt,1,hafta
you hafta be careful when you play,1,hafta
well you should be careful,1,should
oh yes I want you to be careful,1,want
do I want you to touch that,1,want
no,0,None
you're rocking your baby,1,re
Adam do you know why you like your blanket,1,do
yes it's blue,1,re
no the other one is yellow,1,is
Mommy has a yellow one,1,has
she has a blue one too,1,has
what's Urs doing,1,s
in what,0,None
rock_a_bye Urs,0,None
where's the moon,1,s
are you cold,1,are
yes but you shouldn't hit that should you,1,shouldn't
come on just a little more,1,come
your rocking chair walks when you rock,1,walks
sounds like a combination of throw and,1,sounds
squirrel,0,None
let's see what's in here,1,let's
a squirrel,0,None
well you let her see,1,let
she's going to show you something,3,s going to
would you like to have this letter,1,would
thank you,1,thank
that wasn't screaming,2,wasn't
he was just crying,2,was
one for you,0,None
you missed somebody,2,missed
did Urs get one,2,did
what did you give her,2,did
is that shaving cream,1,is
let me see,1,let
oh you shave just like a man,1,shave
what is this I've got,1,is
I've got,1,ve
what is this,1,is
a sun,0,None
what is that,1,is
no that's not Stripey,1,s
that's Colgate,1,s
no,0,None
open it up Adam and see what's in it,1,open
and see what's in it,1,see
what's in it,1,s
no,0,None
okay,0,None
did you tell me what this was,2,did
what this was,2,was
do you know what that is,1,do
what that is,1,is
who was that little boy,2,was
his name,0,None
what is that,1,is
bring some more,1,bring
I don't think she has any more,1,don't
she has any more,1,has
what are they,1,are
yes,0,None
they are hangers,1,are
where does it go,1,does
do you know where that goes,1,does
where that goes,1,goes
where,0,None
what do you do with those,1,do
you've finished with those,1,ve
wait wait,1,wait
finished what,2,finished
no I don't think it opens does it,1,don't
it opens does it,1,opens
does it ,1,does
show me please,1,show
you hafta stand up and do it,1,hafta
maybe you can fix it,1,can
can you try,1,can
please,0,None
do you know what it is,1,do
what is it,1,is
come on fellow,1,come
bring it here ,1,bring
I'll turn it for you,3,ll
hm,0,None
pick what up,1,pick
hold your hand way way up,1,hold
go high as you can,1,go
now let go,1,let
okay,0,None
don't hold it with you,1,don't
well hold your hand way way up,1,hold
drop it down,1,drop
now pull it back up,1,pull
that's right,1,s
you're dumping ,1,re
he was dumping trash out,2,was
he was dumping trash out,2,was
that's your tie,1,s
can you tie your tie,1,can
no,0,None
okay,0,None
here's the string,1,s
yes it is turning around,1,is
it stopped,2,stopped
it feels a little like rubber I guess,1,feels
I don't think so,1,don't
I think it's all wood,1,think
it's all wood,1,s
but perhaps it's the paint,1,s
he comes,1,comes
he who,0,None
he who,0,None
hold your arm way up,1,hold
what is it,1,is
cardy,0,None
what is that,1,is
a word,0,None
I didn't understand the word,2,didn't
Adam,0,None
don't be so rough,1,don't
okay let's go,1,let's
right here,0,None
it's right here,1,s
drop it on you,1,drop
why,0,None
why are you putting sugar in there,1,are
no more,0,None
do you want more juice,1,do
how can a cracker cry,1,can
crackers can't talk,1,can't
you eat crackers,1,eat
how can crackers talk,1,can
can bread talk,1,can
can bread cry,1,can
what kind of juice did you have before,2,did
who can't,1,can't
hold your hand way up,1,hold
what did you do,2,did
I guess it is Shadow_Gay the horse's name again,1,guess
it is Shadow_Gay the horse's name again,1,is
Shadow_Gay a horse,0,None
why did you get such a soft pillow to put your head on,2,did
what are you doing,1,are
he watches Miss Jean,1,watches
Miss Jean,0,None
romper bomper stomper boo,0,None
I think that was Paul dropping his pacifier in the other room,1,think
that was Paul dropping his pacifier in the other room,2,was
what is that Adam,1,is
oh wheelbarrow,0,None
what's what,1,s
it sounded like I don't think it would be Simonize,2,sounded
I don't think it would be Simonize,1,don't
it would be Simonize,2,would
why not,0,None
you need a little more,1,need
what are you doing,1,are
you have some thing to show me,1,have
oh that's who we thought it was,1,s
we thought it was,2,thought
it was,2,was
okay,0,None
Adam come back,1,come
oh that was very nice of you,2,was
what's what,1,s
careful it got caught around the chair,2,got
where's Cromer,1,s
where did he go,2,did
he went to the mountains for the summer,2,went
what,0,None
no Cromer,0,None
are you going,1,are
chewy chewy gobble,0,None
what are you drawing,1,are
helmet,0,None
what kind of helmet,0,None
me,0,None
oh you're drawing one for me,1,re
pen comes out,1,comes
paint,0,None
what,0,None
shadow,0,None
Shadow_Gay,0,None
shadow what,0,None
what happens when you brush him,1,happens
when you brush him,1,brush
he rocks when you brush him,1,rocks
when you brush him,1,brush
no no no write on the paper,1,write
pens are to write on paper,1,are
help,1,help
why did you need help,2,did
can't you do it Adam,1,can't
you can do it even if you're big,1,can't
even if you're big,1,re
no you do it this time,1,do
yes,0,None
you don't mean big,1,don't
you're too little to do it,1,re
too big,0,None
you're big just like Mommy,1,re
where are you going,1,are
well there's your blanket right there in the box,1,re
behind you,0,None
behind you,0,None
are you tired Adam,1,are
did I wake you up,2,did
oh I'm so sorry,1,m
were you having a dream,2,were
no,0,None
you were just sleeping,2,were
what was the last work,2,was
I don't know,1,don't
I missed lots_of that,2,missed
that's right just like that,1,s
I'm not waking you up because you're not sleeping,1,m 
because you're not sleeping,1,re
wake you up,1,wake
it's fourteen o'clock,1,s
is that time for you to get up,1,is
what time do you get up,1,do
well then it's time for you to get up,1,s
that's right,1,s
pull it up again,1,pull
it's turning,1,s
tie the string,1,tie
why are you sitting on it,1,are
I don't know,1,don't
why are you sitting on it,1,are
because Shadow_Gay hugged you,2,hugged
don't you think it would hurt if a horse hugged you,1,don't
if a horse hugged you,2,hugged
if a horse hugged you,2,hugged
what,0,None
pines,0,None
do you know what pines are,1,do
what pines are,1,are
what,0,None
that's right,1,s
the yoyo ran away from you,2,ran
talk to Miss Jean,1,talk
why did I put it there,2,did
because I thought you were sleeping,2,thought
you were sleeping,2,were
oh yes,0,None
yes it goes up,1,goes
then what does it do,1,does
don't be silly pan,1,don't
what happened in the kitchen,2,happened
what broke,2,broke
you fell down,2,fell
in the holes,0,None
what kind of holes,0,None
your holes in the kitchen,0,None
I don't think you can put holes in the floor not with your head,1,don't
you can put holes in the floor not with your head,1,can
I don't think it's hard enough,1,don't
it's hard enough,1,s
I'm not knocking you off,1,m
you're still there,1,re
if I had knocked you off you would have fallen on the floor,2,had
you would have fallen on the floor,2,would
but you're still there,1,re
well are you ready to go to bed,1,are
why are you resting like that,1,are
you try it,1,try
why not,0,None
I see something on here,1,see
did you see any thing,2,did
what,0,None
yes what is that,1,is
well that was an a,2,was
I am not waking you up because you are not sleeping,1,am
because you are not sleeping,1,are
because it's not time to sleep yet,1,s
alright,0,None
good,0,None
you feel better,1,feel
that's very good,1,s
oh the other one,0,None
you gave him one before,2,gave
wait,1,wait
Adam,0,None
wait Adam,1,wait
it's a leaf,1,s
no that's not a leaf,1,s
what is it,1,is
you look at it,1,look
what do you think it is,1,do
yes,0,None
ask her what kind of feather,1,ask
you do it,1,do
okay,0,None
no not that one,0,None
do you want me to put this on you,1,do
you fell and broke your head,2,fell
and broke your head,2,broke
what was that word you said,2,was
that word you said,2,said
was it weeks,2,was
what does she look like when she puts this on,1,does
when she puts this on,1,puts
like a boy,0,None
no you put it on,1,put
you're going to show it to her,3,re going to 
you're just thinking,1,re
what're you thinking about,1,re
